Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\input\ig-hl7.fhir.uv.xver-r5.r4.json	2551280	-	0	1	1	0	0	0	71	143	0	0	0	0	0	0	0	7	0	0	0	5155	6645	0	0	0	205	0	12
input/resources/ConceptMap-R5-Account-element-map-to-R4.json	20406	5	0	0	0	0	0	0	1	3739	0	0	0	0	0	0	0	0	0	0	0	87	4276	0	0	0	4	0	0
input/resources/ConceptMap-R5-ActivityDefinition-element-map-to-R4.json	40563	4	0	0	1	0	0	0	0	1802	0	0	0	0	0	0	0	0	0	0	0	168	3714	0	0	0	8	0	1
input/resources/ConceptMap-R5-ActorDefinition-element-map-to-R4.json	13971	1	0	0	1	0	0	0	0	5305	0	0	0	0	0	0	0	0	0	0	0	62	10918	0	0	0	1	0	0
input/resources/ConceptMap-R5-AdministrableProductDefinition-element-map-to-R4.json	18400	3	0	0	0	0	0	0	0	751	0	0	0	0	0	0	0	0	0	0	0	80	95	0	0	0	2	0	0
input/resources/ConceptMap-R5-AdverseEvent-element-map-to-R4.json	29632	3	0	0	1	0	0	0	1	2738	0	0	0	0	0	0	0	0	0	0	0	122	5712	0	0	0	2	0	0
input/resources/ConceptMap-R5-AllergyIntolerance-element-map-to-R4.json	17049	2	0	0	0	0	0	0	0	1057	0	0	0	0	0	0	0	0	0	0	0	75	2145	0	0	0	2	0	0
input/resources/ConceptMap-R5-Appointment-element-map-to-R4.json	37269	3	0	0	1	0	0	0	0	2785	0	0	0	0	0	0	0	0	0	0	0	137	5641	0	0	0	6	0	0
input/resources/ConceptMap-R5-AppointmentResponse-element-map-to-R4.json	11079	2	0	0	0	0	0	0	0	1281	0	0	0	0	0	0	0	0	0	0	0	57	2647	0	0	0	1	0	0
input/resources/ConceptMap-R5-ArtifactAssessment-element-map-to-R4.json	14083	2	0	0	1	0	0	0	0	5033	0	0	0	0	0	0	0	0	0	0	0	62	10185	0	0	0	1	0	0
input/resources/ConceptMap-R5-AuditEvent-element-map-to-R4.json	29618	1	0	0	0	0	0	0	1	2499	0	0	0	0	0	0	0	0	0	0	0	110	5131	0	0	0	3	0	0
input/resources/ConceptMap-R5-Basic-element-map-to-R4.json	6722	2	0	0	1	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	49	2573	0	0	0	1	0	0
input/resources/ConceptMap-R5-Binary-element-map-to-R4.json	3208	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	33	80	0	0	0	0	0	0
input/resources/ConceptMap-R5-BiologicallyDerivedProduct-element-map-to-R4.json	14892	1	0	0	1	0	0	0	1	1794	0	0	0	0	0	0	0	0	0	0	0	68	5944	0	0	0	2	0	0
input/resources/ConceptMap-R5-BiologicallyDerivedProductDispense-element-map-to-R4.json	14021	1	0	0	0	0	0	0	0	4219	0	0	0	0	0	0	0	0	0	0	0	64	8851	0	0	0	1	0	0
input/resources/ConceptMap-R5-BodyStructure-element-map-to-R4.json	13175	2	0	0	1	0	0	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	62	2142	0	0	0	1	0	0
input/resources/ConceptMap-R5-Bundle-element-map-to-R4.json	15582	1	0	0	0	0	0	0	0	748	0	0	0	0	0	0	0	0	0	0	0	70	1563	0	0	0	2	0	0
